C1,C2,C3,C4,C5,C6,C7,C8
182.749372678912,481.7937529167663,-0.10020691893499166,227.2410544251779,6186.0,204.38926712054467,8050,4233
424.85456187895215,501.37966046923646,-0.6258483221009296,728.0518191841235,3328.0,472.4609531437725,9857,7867
406.5524440429589,988.2495005220152,0.7568644734556284,572.281246867796,9585.0,206.0913095714858,8178,7028
705.5533473853257,799.4725342012135,-0.6768215175194412,636.8161772075774,8299.0,481.958350020024,9821,9309
805.319783197832,185.4931170578092,-0.7863867676715204,805.9863686478901,8998.0,445.6708049659592,9714,7028
28.275519421860885,25.28503166031016,0.43276854416822497,433.2601984564498,3300.0,236.96635963155785,2341,5167
754.7900230854161,825.7508549559318,-0.0003201712494988436,611.1007316828707,1285.0,405.5366439727673,9265,4322
607.9752082706012,306.7616298603275,-0.6276121681612549,922.7404029267316,1411.9999999999998,385.14617541049256,1494,5405
867.0894308943089,248.697643518012,-0.6239881974715873,926.1888343189336,3073.0,223.1117340808971,1344,3933
600.8135099869518,558.9701758004978,0.3021267521045412,207.9298386288464,5491.0,209.80176211453744,7851,3555
879.4234668272609,781.8569207836182,-0.7881704338836978,807.4642678159768,6577.0,462.010412494994,9123,5216
560.8273612365754,232.2955568183997,0.47217747431482054,480.9470782800441,6603.0,373.26591910292353,6040,6539
586.58958145137,375.1237914538417,0.7389734619637883,534.5455547759847,8353.0,458.1978374048858,1399,3601
506.3188798554653,965.4065647986548,-0.1499773395671761,685.3897965320236,3341.0000000000005,258.4461353624349,2089,5583
473.1960252935863,549.6876410846968,-0.3509912681604621,464.6901874310915,4027.0,251.535843011614,3001,1240
581.3177757703503,545.8189793526328,1.076117724005561,629.4266813671445,7515.0,197.03644373247897,8662,2494
55.62922814413329,532.0561735459221,-0.23489111993902057,195.02285256089004,3316.9999999999995,383.4781738085703,3260,5646
846.7979524239687,918.293766457574,0.8508965442212826,445.2804450235541,9550.0,257.42490989187024,5871,8762
38.2223225935963,476.46909194186736,-0.677255876866399,811.8979653202365,647.0,456.9042851421706,7634,3506
298.8285656930643,389.3995066930779,1.019017723757631,938.4061341084496,3427.0,309.30316379655585,7015,3880
742.6549232158989,316.069367931515,-0.7005612089225959,241.2318332163977,3363.0,404.3111734080897,8555,9461
323.39716952725087,119.948714704046,0.03873032895858226,393.35692091811165,4517.0,332.3488185822988,8860,656
75.22443039245208,540.8578457231978,0.1794255559158183,142.70522201062445,2508.0,482.87745294353226,418,5016
67.7643280136505,394.3981248628761,-0.03090018623725394,235.024656710434,6062.0,330.37444933920705,3442,7311
171.11161296798153,375.7566019389999,0.34305851680915317,82.99809561992583,369.0,323.5662795354425,2451,5494
